"id","created_at","updated_at","deleted_at","deletedTracker","published_at","locale_name","default_entity_locale_id","organization_name","created_by_id","updated_by_id","bid_plus_gem_portal_ministry_master_id_id"
2119,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ANDREW YULE COMPANY LIMITED,,,2119
1855,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF DG (ECS),,,319
833,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DG OF DEFENCE ESTATE,,,319
883,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTOR GENERAL OF NATIONAL CADET CORPS (DGNCC),,,319
1052,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GARDEN REACH SHIP BUILDERS AND ENGINEERS LIMITED (GRSE),,,319
596,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHARAT ELECTRONICS LIMITED (BEL),,,319
2386,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RAJASTHAN ELECTRONICS AND INSTRUMENTS LIMITED (REIL) - SOLAR PV MONITORING SYSTEM JAIPUR,,,2119
1627,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MUNITIONS INDIA LIMITED,,,319
933,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE GENERAL OF QUALITY ASSURANCE ( DGQA),,,319
180,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH (NIPER)MOHALI,,,5
37,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HINDUSTAN ORGANIC CHEMICALS LIMITED,,,5
197,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL LNSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH (NIPER)HAJIPUR,,,5
